caseno,typeofclaim,InvoiceVoucherDate,debtwarningdate,mainamount,mainamountbalance,casestate,ageofclaim_months,courtclaim,postacode,debage,paidamount
62967,loan,00:00.0,NULL,428,428,AddressUnknown,19,0,4820,31,0
62968,loan,00:00.0,NULL,623,623,AddressUnknown,19,0,4820,31,0
63031,loan,00:00.0,1/1/2020,528,528,AddressUnknown,19,0,2615,20,0
64804,loan,00:00.0,1/19/2020,79,79,AddressUnknown,18,0,3320,25,0
65433,loan,00:00.0,NULL,623,623,AddressUnknown,18,0,5093,999,0
68125,loan,00:00.0,1/19/2020,623,623,AddressUnknown,17,0,2670,65,0
66507,loan,00:00.0,1/14/2020,623,623,AddressUnknown,18,0,7718,74,0
74883,loan,00:00.0,NULL,623,623,AddressUnknown,17,0,8475,999,0
74888,loan,00:00.0,2/5/2020,796,796,AddressUnknown,17,0,4085,999,0
72533,loan,00:00.0,1/29/2020,79,79,AddressUnknown,17,0,4042,26,0
73984,loan,00:00.0,NULL,623,623,AddressUnknown,17,0,8626,28,0
73992,loan,00:00.0,NULL,623,623,AddressUnknown,17,0,350,42,0
74014,loan,00:00.0,2/12/2020,623,623,AddressUnknown,17,0,7650,54,0
8283,loan,00:00.0,NULL,158,158,AddressUnknown,19,0,5225,19,0
6503,loan,00:00.0,11/23/2019,299,299,AddressUnknown,20,0,1650,34,0
6567,loan,00:00.0,11/15/2019,299,299,AddressUnknown,20,0,4820,31,0
6061,loan,00:00.0,11/20/2019,99,99,AddressUnknown,20,0,2634,57,0
6835,loan,00:00.0,NULL,299,299,AddressUnknown,20,0,469,21,0
8932,loan,00:00.0,11/23/2019,199,199,AddressUnknown,20,0,4320,999,0
9166,loan,00:00.0,11/23/2019,79,79,AddressUnknown,19,0,1051,999,0
109871,loan,00:00.0,NULL,268.2,268.2,AddressUnknown,16,0,1543,68,0
109872,loan,00:00.0,NULL,328,328,Waiting,16,0,1405,61,0
109874,loan,00:00.0,NULL,328,328,Waiting,16,0,8622,76,0
109876,loan,00:00.0,NULL,328,328,Waiting,16,0,4631,61,0
109879,loan,00:00.0,NULL,328,328,Waiting,16,0,4440,39,0
109881,loan,00:00.0,NULL,328,328,Waiting,16,0,8516,25,0
109882,loan,00:00.0,NULL,398,398,Waiting,16,0,370,39,0
109883,loan,00:00.0,NULL,328,328,Waiting,16,0,1765,51,0
109885,loan,00:00.0,NULL,328,328,Waiting,16,0,1880,37,0
109886,loan,00:00.0,NULL,328,328,Waiting,16,0,7520,68,0
109887,loan,00:00.0,NULL,328,328,Waiting,16,0,2388,68,0
109894,loan,00:00.0,NULL,298,298,Waiting,16,0,1676,69,0
109895,loan,00:00.0,NULL,328,328,Waiting,16,0,2335,40,0
109897,loan,00:00.0,NULL,268.2,268.2,Waiting,16,0,1707,83,0
109900,loan,00:00.0,NULL,283.15,283.15,Waiting,16,0,2821,74,0
109902,loan,00:00.0,NULL,328,328,Waiting,16,0,3035,35,0
109904,loan,00:00.0,NULL,474.5,474.5,Waiting,18,0,362,41,0
109905,loan,00:00.0,NULL,328,328,Waiting,16,0,1624,41,0
109909,loan,00:00.0,NULL,676.6,338.6,Waiting,16,0,2010,63,-338
109910,loan,00:00.0,NULL,328,328,Waiting,16,0,2345,29,0
109911,loan,00:00.0,NULL,328,328,Waiting,16,0,2830,69,0
109914,loan,00:00.0,NULL,499,499,Waiting,16,0,4950,38,0
109915,loan,00:00.0,NULL,298,298,Waiting,16,0,8860,75,0
109916,loan,00:00.0,NULL,328,328,Waiting,16,0,7622,66,0
109917,loan,00:00.0,NULL,328,328,Waiting,16,0,5238,71,0
109918,loan,00:00.0,NULL,623,623,Waiting,16,0,5238,71,0
109919,loan,00:00.0,NULL,328,328,Waiting,16,0,971,26,0
109920,loan,00:00.0,NULL,328,328,Waiting,16,0,369,73,0
109921,loan,00:00.0,NULL,328,328,Waiting,16,0,3340,48,0
109922,loan,00:00.0,NULL,533.9,533.9,Waiting,16,0,8012,52,0
109923,loan,00:00.0,NULL,328,328,Waiting,16,0,7397,57,0
109926,loan,00:00.0,NULL,328,328,Waiting,16,0,3275,76,0
109931,loan,00:00.0,NULL,311.5,311.5,Waiting,16,0,1086,49,0
109933,loan,00:00.0,NULL,398,398,Waiting,16,0,5914,57,0
109934,loan,00:00.0,NULL,499,499,Waiting,16,0,2032,54,0
109936,loan,00:00.0,NULL,398,398,Waiting,16,0,8615,49,0
109937,loan,00:00.0,NULL,696,696,Waiting,16,0,8615,49,0
109939,loan,00:00.0,NULL,398,398,Waiting,16,0,3150,75,0
109940,loan,00:00.0,NULL,328,328,Waiting,16,0,2072,25,0
109941,loan,00:00.0,NULL,328,328,Waiting,16,0,2319,44,0
109942,loan,00:00.0,NULL,398,398,Waiting,16,0,2211,53,0
109945,loan,00:00.0,NULL,328,328,Waiting,16,0,3178,42,0
109947,loan,00:00.0,NULL,398,398,Waiting,16,0,2386,78,0
109950,loan,00:00.0,NULL,599,599,Waiting,16,0,5131,25,0
109953,loan,00:00.0,NULL,599,599,Waiting,16,0,3112,22,0
109955,loan,00:00.0,NULL,599,599,Waiting,16,0,3513,22,0
109956,loan,00:00.0,NULL,599,599,Waiting,16,0,3263,27,0
109960,loan,00:00.0,NULL,599,599,Waiting,16,0,1475,22,0
109961,loan,00:00.0,NULL,599,599,Waiting,16,0,8372,28,0
109962,loan,00:00.0,NULL,599,599,Waiting,16,0,3036,24,0
109964,loan,00:00.0,NULL,599,599,Waiting,16,0,6940,21,0
109965,loan,00:00.0,NULL,298,298,Waiting,16,0,2100,73,0
109966,loan,00:00.0,NULL,599,599,Waiting,16,0,1481,21,0
109967,loan,00:00.0,NULL,599,599,Waiting,16,0,2040,22,0
109968,loan,00:00.0,NULL,599,599,Waiting,16,0,565,27,0
109969,loan,00:00.0,NULL,599,599,Waiting,16,0,1338,34,0
109971,loan,00:00.0,NULL,599,599,Waiting,16,0,1517,21,0
109972,loan,00:00.0,NULL,599,599,Waiting,16,0,4024,35,0
40740,loan,00:00.0,NULL,99,99,Waiting,19,0,1279,50,0
7892,loan,00:00.0,NULL,158,158,Waiting,19,0,1270,32,0
74051,loan,00:00.0,2/20/2020,623,0,Waiting,17,0,6888,60,-623
73482,loan,00:00.0,2/20/2020,623,623,Waiting,17,0,4633,66,0
73594,loan,00:00.0,2/20/2020,623,623,Waiting,17,0,7088,19,0
73967,loan,00:00.0,2/29/2020,623,623,Waiting,17,0,5151,28,0
72497,loan,00:00.0,2/20/2020,298,298,Waiting,17,0,8854,58,0
66553,loan,00:00.0,NULL,623,623,Waiting,18,0,195,26,0
68240,loan,00:00.0,2/20/2020,623,623,Waiting,17,0,8854,58,0
74858,loan,00:00.0,2/20/2020,623,623,Waiting,17,0,7050,999,0
74980,loan,00:00.0,2/5/2020,623,0,Waiting,17,0,4265,25,-676.86
67074,loan,00:00.0,NULL,99,99,Waiting,18,0,1960,50,0
67075,loan,00:00.0,NULL,99,99,Waiting,18,0,1960,50,0
67094,loan,00:00.0,NULL,79,79,Waiting,18,0,3036,24,0
65954,loan,00:00.0,NULL,696,696,Waiting,18,0,1271,52,0
63043,loan,00:00.0,NULL,623,623,Waiting,19,0,984,41,0
64700,loan,00:00.0,NULL,328,328,Waiting,19,0,1880,37,0
63831,loan,00:00.0,NULL,623,623,Waiting,19,0,5363,52,0
109859,loan,00:00.0,NULL,328,328,Waiting,16,0,6030,31,0
109862,loan,00:00.0,NULL,298.1,298.1,Waiting,16,0,5550,65,0
109865,loan,00:00.0,NULL,328,328,Waiting,16,0,7970,55,0
109869,loan,00:00.0,NULL,99,99,Waiting,16,0,674,40,0
93483,loan,00:00.0,2/20/2020,79,79,Waiting,17,0,5032,999,0
93485,loan,00:00.0,2/20/2020,199,199,Waiting,17,0,3600,999,0
93486,loan,00:00.0,2/20/2020,299,299,Waiting,17,0,3600,999,0
93492,loan,00:00.0,2/20/2020,79,79,Waiting,17,0,9790,999,0
93496,loan,00:00.0,2/20/2020,79,79,Waiting,17,0,2651,999,0
93502,loan,00:00.0,2/20/2020,79,79,Waiting,17,0,970,999,0
62393,loan,00:00.0,NULL,79,79,Waiting,18,0,480,37,0
93187,loan,00:00.0,2/20/2020,79,79,Waiting,17,0,1743,46,0
93048,loan,00:00.0,2/20/2020,79,79,Waiting,17,0,484,22,0
93079,loan,00:00.0,NULL,79,79,Waiting,17,0,3028,53,0
93461,loan,00:00.0,2/20/2020,623,623,Waiting,17,0,7040,999,0
93465,loan,00:00.0,2/20/2020,623,623,Waiting,17,0,4707,70,0
93466,loan,00:00.0,2/20/2020,623,623,Waiting,17,0,1368,999,0
93472,loan,00:00.0,2/20/2020,599,599,Waiting,17,0,4100,999,0
93476,loan,00:00.0,2/20/2020,398,398,Waiting,17,0,484,999,0
93480,loan,00:00.0,2/20/2020,299,299,Waiting,17,0,1784,999,0
93481,loan,00:00.0,2/20/2020,199,199,Waiting,17,0,1784,999,0
92982,loan,00:00.0,2/20/2020,328,328,Waiting,17,0,6363,68,0
92983,loan,00:00.0,2/20/2020,656.3,656.3,Waiting,17,0,6363,68,0
92995,loan,00:00.0,2/19/2020,298,298,Waiting,17,0,7732,59,0
92996,loan,00:00.0,2/19/2020,298,298,Waiting,17,0,7732,59,0
92684,loan,00:00.0,NULL,623,623,Waiting,17,0,7026,36,0
94589,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,3174,23,0
94585,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,8255,39,0
94586,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,1850,30,0
94587,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,5306,44,0
94242,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,4320,40,0
94244,loan,00:00.0,2/27/2020,79,79,Waiting,16,0,271,55,0
94256,loan,00:00.0,2/26/2020,623,623,Waiting,16,0,1673,60,0
94260,loan,00:00.0,2/26/2020,398,398,Waiting,16,0,4821,31,0
94261,loan,00:00.0,2/26/2020,696,696,Waiting,16,0,4821,31,0
94591,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,469,52,0
94592,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,6490,57,0
94593,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,1523,67,0
94594,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,5680,58,0
94598,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,5452,42,0
94599,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2150,23,0
94600,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2312,40,0
94601,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,1832,35,0
94602,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2607,27,0
94603,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,4817,62,0
94604,loan,00:00.0,2/28/2020,796,796,Waiting,16,0,3295,52,0
94608,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,6280,50,0
94609,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,6006,26,0
94610,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,9800,23,0
94611,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,6391,47,0
94612,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2063,36,0
94613,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,7043,51,0
94614,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,4350,27,0
94615,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,266,31,0
94619,loan,00:00.0,2/28/2020,305.75,305.75,Waiting,16,0,4642,56,0
94621,loan,00:00.0,2/28/2020,398,398,Waiting,16,0,1454,62,0
94622,loan,00:00.0,2/28/2020,298,298,Waiting,16,0,6005,47,0
94629,loan,00:00.0,2/28/2020,199,199,Waiting,16,0,1617,49,0
94630,loan,00:00.0,2/28/2020,796,796,Waiting,16,0,1832,33,0
94635,loan,00:00.0,3/1/2020,623,623,Waiting,16,0,3660,21,0
94636,loan,00:00.0,2/28/2020,298,298,Waiting,16,0,5238,71,0
94637,loan,00:00.0,2/28/2020,398,398,Waiting,16,0,767,22,0
94642,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,5411,26,0
94643,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,572,23,0
94648,loan,00:00.0,2/28/2020,398,398,Waiting,16,0,2390,79,0
94649,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,6063,42,0
94653,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,4049,21,0
94654,loan,00:00.0,2/28/2020,298,280.89,Waiting,16,0,2007,26,-17.11
94657,loan,00:00.0,2/28/2020,398,398,Waiting,16,0,3076,28,0
94661,loan,00:00.0,3/1/2020,623,623,Waiting,17,0,55,25,0
94664,loan,00:00.0,2/28/2020,696,696,Waiting,16,0,2383,70,0
94667,loan,00:00.0,2/28/2020,796,796,Waiting,16,0,2750,67,0
94673,loan,00:00.0,2/28/2020,796,796,Waiting,16,0,4629,33,0
94674,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,4629,33,0
94283,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,4270,75,0
94291,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,7042,45,0
94295,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,4612,55,0
94297,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,7715,52,0
94555,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,8372,35,0
94557,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,6015,48,0
94558,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,8415,61,0
94559,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,5161,51,0
94560,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,367,66,0
94561,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,7804,20,0
94562,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2846,20,0
94563,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,5101,31,0
94564,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,6967,29,0
94565,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,186,24,0
94566,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,7227,27,0
94567,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,1725,23,0
94568,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,6906,21,0
94571,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2053,25,0
94572,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,3115,32,0
94573,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2384,66,0
94574,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,1747,42,0
94575,loan,00:00.0,2/28/2020,796,796,Waiting,16,0,9845,74,0
94578,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,4262,37,0
94580,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,9800,54,0
94582,loan,00:00.0,3/1/2020,623,623,Waiting,16,0,551,57,0
94085,loan,00:00.0,2/26/2020,189,189,Waiting,16,0,8007,30,0
94086,loan,00:00.0,2/26/2020,299,299,Waiting,16,0,8007,30,0
94092,loan,00:00.0,2/26/2020,189,189,Waiting,16,0,5264,29,0
94098,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,3024,62,0
94100,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,3243,38,0
94108,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,1816,66,0
94110,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,3055,45,0
94116,loan,00:00.0,2/26/2020,189,189,Waiting,16,0,5230,26,0
94120,loan,00:00.0,2/27/2020,79,79,Waiting,16,0,3692,29,0
94122,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,5610,36,0
94128,loan,00:00.0,2/26/2020,199,199,Waiting,16,0,1920,38,0
94130,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,2827,48,0
94134,loan,00:00.0,2/26/2020,199,199,Waiting,16,0,1900,65,0
94019,loan,00:00.0,2/26/2020,199,199,Waiting,16,0,2730,68,0
94032,loan,00:00.0,2/26/2020,299,299,Waiting,16,0,2080,32,0
94033,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,2080,32,0
94039,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,5308,66,0
94041,loan,00:00.0,2/26/2020,199,199,Waiting,16,0,3212,60,0
94043,loan,00:00.0,2/26/2020,299,299,Waiting,16,0,6814,83,0
94044,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,6814,83,0
94046,loan,00:00.0,2/26/2020,398,398,Waiting,16,0,3622,28,0
94048,loan,00:00.0,2/26/2020,158,158,Waiting,16,0,3187,45,0
94056,loan,00:00.0,2/26/2020,623,0,Waiting,16,0,4318,55,-623
94058,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,190,52,0
94060,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,2680,61,0
94062,loan,00:00.0,2/26/2020,398,398,Waiting,16,0,9425,49,0
94063,loan,00:00.0,2/26/2020,398,398,Waiting,16,0,9425,49,0
94067,loan,00:00.0,2/26/2020,79,79,Waiting,16,0,3216,64,0
94070,loan,00:00.0,2/26/2020,199,199,Waiting,16,0,2360,64,0
94078,loan,00:00.0,2/26/2020,656.3,656.3,Waiting,16,0,7332,61,0
94079,loan,00:00.0,2/26/2020,398,398,Waiting,16,0,7332,61,0
94520,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,3340,43,0
94521,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,653,30,0
94522,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,3734,51,0
94523,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,598,43,0
94524,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,7716,23,0
94525,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2850,25,0
94527,loan,00:00.0,2/28/2020,796,796,Waiting,16,0,2070,38,0
94528,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,4016,57,0
94529,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,1523,61,0
94530,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,4120,57,0
94531,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,5379,40,0
94535,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,1615,53,0
94536,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2825,53,0
94538,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,988,40,0
94539,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2619,52,0
94540,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,4849,35,0
94541,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,252,32,0
94542,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,6443,31,0
94543,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,864,30,0
94544,loan,00:00.0,NULL,623,623,Waiting,16,0,7504,40,0
94545,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2380,45,0
94546,loan,00:00.0,2/28/2020,796,796,Waiting,16,0,1738,42,0
94547,loan,00:00.0,3/1/2020,623,623,Waiting,16,0,8906,28,0
94548,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,1270,56,0
94549,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,8626,38,0
94550,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,1821,27,0
94551,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,5094,53,0
94552,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,1621,56,0
94553,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,4633,72,0
94554,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,4920,44,0
92466,loan,00:00.0,2/21/2020,796,796,Waiting,17,0,850,64,0
92495,loan,00:00.0,2/20/2020,499,499,Waiting,17,0,1624,61,0
94533,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2080,26,0
94504,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,5416,51,0
94507,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2150,51,0
94508,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,8030,47,0
94509,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,5210,29,0
94510,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2846,21,0
94511,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,5136,51,0
94512,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,198,32,0
94513,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,7088,58,0
94514,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,358,25,0
94515,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2072,53,0
94516,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,1710,25,0
94517,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,2340,24,0
94518,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,7970,28,0
94483,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,6070,40,0
94486,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,8450,31,0
94491,loan,00:00.0,2/28/2020,599,599,Waiting,16,0,1083,43,0
94494,loan,00:00.0,2/28/2020,199,199,Waiting,16,0,2212,67,0
94495,loan,00:00.0,2/28/2020,199,199,Waiting,16,0,2212,67,0
94497,loan,00:00.0,2/28/2020,696,696,Waiting,16,0,3011,58,0
94499,loan,00:00.0,2/28/2020,199,199,Waiting,16,0,5173,75,0
94500,loan,00:00.0,3/1/2020,199,199,Waiting,16,0,567,62,0
94501,loan,00:00.0,3/1/2020,199,199,Waiting,16,0,567,62,0
94450,loan,00:00.0,2/28/2020,623,623,Waiting,16,0,8012,24,0
94454,loan,00:00.0,2/28/2020,298,298,Waiting,16,0,3214,78,0
94457,loan,00:00.0,2/28/2020,298,298,Waiting,16,0,9135,57,0
94463,loan,00:00.0,2/28/2020,398,398,Waiting,16,0,6423,50,0
94464,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,3738,29,0
94469,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,2337,27,0
94473,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,5600,48,0
94474,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,7336,23,0
94476,loan,00:00.0,2/28/2020,499,499,Waiting,16,0,6453,38,0
90667,loan,00:00.0,2/28/2020,528,528,Waiting,19,0,4120,40,0
90685,loan,00:00.0,2/20/2020,398,398,Waiting,17,0,8533,54,0
93607,loan,00:00.0,2/22/2020,623,623,Waiting,19,0,4014,57,0
93608,loan,00:00.0,2/22/2020,623,623,Waiting,19,0,8470,49,0
93611,loan,00:00.0,2/22/2020,623,623,Waiting,17,0,7030,23,0
93613,loan,00:00.0,2/22/2020,623,623,Waiting,17,0,5073,21,0
93618,loan,00:00.0,2/22/2020,158,158,Waiting,17,0,2020,51,0
93629,loan,00:00.0,2/22/2020,200,200,Waiting,17,0,551,27,0
93630,loan,00:00.0,2/22/2020,1000,1000,Waiting,17,0,493,37,0
94802,loan,00:00.0,2/28/2020,79,79,Waiting,16,0,9960,52,0
94811,loan,00:00.0,2/28/2020,158,158,Waiting,16,0,6532,44,0
94816,loan,00:00.0,2/28/2020,199,199,Waiting,16,0,3044,44,0
94820,loan,00:00.0,2/28/2020,398,398,Waiting,16,0,2080,43,0
94821,loan,00:00.0,2/28/2020,298,298,Waiting,16,0,2080,43,0
94825,loan,00:00.0,2/28/2020,326,326,Waiting,16,0,1722,33,0
94831,loan,00:00.0,2/28/2020,79,79,Waiting,16,0,5355,47,0
